condition,well,field,n,mean,std,cv,iqr,qcd,skew,kurtosis,p90,p99,frac_small,frac_large,frac_xlarge
CIDEC_KD,R02C10,1,10816.0,57.3110665,84.44518284980506,1.4734533486618167,35.760400000000004,0.43859649122807026,6.143130920921908,49.673073299808436,101.559536,464.456075200001,0.18315458579881658,0.10355029585798817,0.035318047337278106
CIDEC_KD,R02C10,2,10366.0,59.63286459579394,88.00906566686795,1.4758483642101516,40.051648,0.4666666666666666,6.10103869116691,49.897229508908175,111.572448,490.632688,0.1917808219178082,0.11981477908547174,0.037622998263553926
CIDEC_KD,R02C10,3,10684.0,56.46300730962186,88.30318170979903,1.5639121243680425,35.7604,0.45454545454545453,6.0243668130567665,46.990521358208206,101.559536,476.3571363200007,0.21228004492699362,0.10305129165106702,0.037719955073006364
CIDEC_KD,R02C10,4,10170.0,59.33118023048181,88.60542908352025,1.4934041213965028,40.051648,0.48275862068965514,5.89038954894074,46.700200045467255,108.711616,473.467696,0.20383480825958702,0.11809242871189773,0.04228121927236971
CIDEC_KD,R02C10,5,9957.0,60.248857586823334,86.84956916174816,1.44151395794669,40.051648,0.4666666666666666,5.676263581754808,43.17954725291587,113.002864,496.98373504000074,0.17947172843225873,0.121120819523953,0.04047403836496937
CIDEC_KD,R02C10,6,10558.0,56.81520766357264,85.74820579809072,1.509247423785597,38.62123199999999,0.4736842105263157,6.413970952742693,54.17716061936173,102.989952,456.9177828800004,0.20467891646145103,0.10806971017238114,0.03523394582307255
CIDEC_KD,R02C10,7,9781.0,62.32773383335036,101.50915974244862,1.6286354965810266,38.62123199999999,0.4736842105263157,5.643863377334779,39.76178902366448,113.002864,593.908723200001,0.20151313771597995,0.11798384623249157,0.04549637051426234
CIDEC_KD,R02C10,8,9808.0,59.59342319249592,93.54021118479334,1.5696398389910253,38.62123199999999,0.4736842105263157,5.906648324282954,45.099355328433646,108.711616,507.49729264000126,0.20901305057096248,0.11419249592169657,0.04149673735725938
CIDEC_KD,R02C10,9,10407.0,59.32288529489767,88.79431496466708,1.4967969700607977,41.482064,0.4915254237288136,6.313295884045748,53.41394772826247,108.711616,460.593952,0.19352358989141924,0.11578745075429998,0.038339579129432116
CIDEC_KD,R03C10,1,11119.0,55.48892285996942,78.93267718086942,1.422494312604736,35.7604,0.45454545454545453,5.716111725427591,44.921358498266876,100.12912,431.985632,0.1994783703570465,0.10216746110261714,0.037323500314776506
CIDEC_KD,R03C10,2,10045.0,59.75593100169238,95.53144972123943,1.5986940228332118,37.190816,0.46428571428571425,5.647080482579704,40.585202097286775,110.142032,544.0730297599956,0.21553011448481832,0.11508213041314086,0.04449975111996018
CIDEC_KD,R03C10,3,10606.0,55.979625522157264,93.63847657574448,1.6727242403342173,34.329984,0.4615384615384616,5.93610378796014,44.07642191197155,100.12912,546.347391200001,0.23628135017914387,0.10116914953799735,0.039317367527814444
CIDEC_KD,R03C10,4,10169.0,58.84651807965385,92.32396496658166,1.568894269013728,38.62123199999999,0.4736842105263157,6.130141875196957,48.724754183582476,108.711616,503.506432,0.2060182908840594,0.11348215163732914,0.03894188219097256
CIDEC_KD,R03C10,5,10737.0,56.4174348603893,82.83089032300195,1.4681789508504852,38.62123199999999,0.4736842105263157,6.071366685175943,49.184726896303744,102.989952,454.872288,0.20685480115488497,0.10794449101238707,0.03622985936481326
CIDEC_KD,R03C10,6,10644.0,58.490091899285986,90.3860698186354,1.54532275268555,37.190816,0.46428571428571425,5.7936392328217705,43.41132697817298,105.850784,522.1018399999999,0.20762871101089816,0.10992108229988726,0.041431792559188274
CIDEC_KD,R03C10,7,9782.0,61.96865684236352,97.12689813162595,1.5673552257022176,40.051648,0.48275862068965514,5.503149139619461,38.53424681234047,114.43328,579.8620380800014,0.20619505213657738,0.12400327131465957,0.04600286240032713
CIDEC_KD,R03C10,8,10327.0,59.20650697550111,94.07298233993157,1.5888960039283817,38.62123199999999,0.4736842105263157,5.83639567857972,43.52403841604982,107.2812,534.6036758399996,0.21816597269294083,0.11368257964558923,0.04134792292049966
CIDEC_KD,R03C10,9,10537.0,59.056483223687955,88.46234493676799,1.4979277482829378,40.051648,0.48275862068965514,6.138712601904991,49.4847445157809,107.2812,479.58987647999834,0.19322387776406946,0.11454873303596849,0.03568378096232324
CIDEC_KD,R04C10,1,11244.0,54.3045399772323,76.09850455360389,1.4013285921491816,35.760400000000004,0.43859649122807026,6.555321676147693,58.6130906841814,97.268288,392.13424223999914,0.1807186054784774,0.09640697260761295,0.02774813233724653
CIDEC_KD,R04C10,2,10671.0,57.66516140717833,83.09066331718319,1.4409161665303136,38.62123199999999,0.4736842105263157,5.738392583097221,44.43603120143088,107.2812,453.870996799999,0.1994189860369225,0.11189204385718302,0.03851560303626652
CIDEC_KD,R04C10,3,10546.0,57.46607438498009,90.24012224755913,1.5703199359506832,38.621232,0.49090909090909096,5.964957647571432,46.88411028408758,105.850784,492.063104,0.22349706049687085,0.10876161577849422,0.04048928503698085
CIDEC_KD,R04C10,4,10265.0,58.314151584607885,88.4810243799268,1.517316499950271,38.62123199999999,0.4736842105263157,6.250863984342831,52.14396792903814,107.2812,473.467696,0.20282513395031662,0.11339503166098393,0.03740867023867511
CIDEC_KD,R04C10,5,10711.0,56.00163441994212,83.39151192695276,1.4890906808472921,37.190816,0.46428571428571425,6.029540258625827,48.87038452080279,104.420368,451.725372799999,0.21174493511343478,0.10755298291476052,0.03547754644757726
CIDEC_KD,R04C10,6,10932.0,56.1278647039883,84.67211603953213,1.5085575851866595,35.7604,0.45454545454545453,5.832315897631152,44.59472432946246,101.559536,471.59385104000074,0.21716062934504207,0.10492133186974022,0.03750457372850348
CIDEC_KD,R04C10,7,10404.0,59.033669782391385,91.87708108531957,1.5563504932692622,38.62123199999999,0.4736842105263157,5.757542925374259,43.015270481787404,108.711616,510.615599519999,0.21559015763168013,0.11620530565167243,0.04229142637447136
CIDEC_KD,R04C10,8,10563.0,57.98635357985421,82.66015730268654,1.425510524452163,37.190816,0.4482758620689656,5.961958274081144,48.1796290423401,105.850784,452.011456,0.1869733977089842,0.11256271892454794,0.03767868976616492
CIDEC_KD,R04C10,9,10781.0,55.49711571097301,78.15669839300902,1.4083019881618046,38.62123199999999,0.4736842105263157,6.304878576036527,56.7069902998536,102.989952,393.93656640000205,0.2123179667934329,0.1080604767646786,0.03357759020499026
CIDEC_KD,R05C10,1,11747.0,53.42890525104281,87.62387912339207,1.6400088811791975,32.899568,0.46938775510204084,5.941688617386185,45.60323996351349,95.837872,490.8615545599946,0.2550438409806759,0.09576913254447944,0.03941431854941687
CIDEC_KD,R05C10,2,9886.0,59.57394704754198,100.76113792626998,1.6913624649691126,37.190816,0.5,5.335739814961376,35.8422508673635,114.43328,591.1909327999989,0.2605705037426664,0.11885494638883269,0.04926158203520129
