condition,well,field,n_droplets,mean_area_um2,median_area_um2,total_area_um2,mean_diameter_um,median_diameter_um,mean_circularity
CIDEC_KD,R02C10,1,318,914.1977578867924,355.458376,290714.887008,26.927943715205956,21.273916851805808,0.6543832977460299
CIDEC_KD,R02C10,2,696,807.1512767126435,379.06024,561777.2885919999,26.454085006112,21.96890459778963,0.6497913382654145
CIDEC_KD,R02C10,3,488,890.1554978688524,366.186496,434395.88295999996,26.97772472595799,21.592663741539727,0.6484826668833379
CIDEC_KD,R02C10,4,498,955.9803317269076,393.3644,476078.20519999997,27.893876759070285,22.37961370468714,0.6325677449884072
CIDEC_KD,R02C10,5,451,913.9501893392461,409.098976,412191.535392,27.454705518423545,22.822817397373647,0.6421497824435836
CIDEC_KD,R02C10,6,551,1690.7750763266788,393.3644,931617.067056,31.237685563843353,22.37961370468714,0.6321179640371594
CIDEC_KD,R02C10,7,564,1153.9145582411347,387.64273599999996,650807.810848,28.861067277959403,22.216256676238974,0.6337110290074026
CIDEC_KD,R02C10,8,303,1097.7097359207921,416.25105599999995,332606.049984,28.49317579245447,23.021453147813467,0.6317498152613983
CIDEC_KD,R02C10,9,473,1041.491030630021,426.263968,492625.257488,28.58851506009081,23.29669806117004,0.6370797118379908
CIDEC_KD,R03C10,1,405,1224.6692008296295,379.06023999999996,495991.02633599995,28.709223030647756,21.968943702527017,0.6272552223776179
CIDEC_KD,R03C10,2,795,1020.6207082867924,351.88233599999995,811393.463088,27.37350071266771,21.16673109596722,0.6503151187477068
CIDEC_KD,R03C10,3,265,857.3481680301887,333.286928,227197.264528,26.467472682696727,20.599856710008954,0.6424736385627584
CIDEC_KD,R03C10,4,306,1214.9467349542483,377.629824,371773.70089599997,28.865739630230934,21.927414359697398,0.6404627297754163
CIDEC_KD,R03C10,5,439,1305.9730663507971,414.82063999999997,573322.1761279999,30.258065601461407,22.981863345263125,0.6284156091191891
CIDEC_KD,R03C10,6,366,938.1731169398906,401.23168799999996,343371.36079999997,27.63011016242598,22.602077479376305,0.644438955288925
CIDEC_KD,R03C10,7,700,1398.0191210514286,389.78836,978613.384736,29.973894159116224,22.277646561260063,0.636927192023978
CIDEC_KD,R03C10,8,614,1113.716306397394,432.70083999999997,683821.812128,29.267302671862648,23.47192885627466,0.6388082456231161
CIDEC_KD,R03C10,9,624,939.8062353333333,420.542304,586439.090848,28.089641991289472,23.139816154992165,0.6313466745275759
CIDEC_KD,R04C10,1,378,984.3192006349207,390.503568,372072.65784,27.302714357103493,22.29804738782388,0.6601479651396652
CIDEC_KD,R04C10,2,423,1019.0073924917257,363.32566399999996,431040.127024,26.556308554338006,21.508152013177718,0.6545075438800916
CIDEC_KD,R04C10,3,767,957.9218074576271,359.03441599999996,734726.02632,27.282476723553376,21.38075808693637,0.6517203323075959
CIDEC_KD,R04C10,4,529,1083.887584,349.021504,573376.531936,27.330596675043346,21.08051187366525,0.6494520184821436
CIDEC_KD,R04C10,5,322,787.754968,356.173584,253657.099696,26.459782429254773,21.295362484704395,0.6423534219880329
CIDEC_KD,R04C10,6,498,967.371957943775,378.34503199999995,481751.23505599995,27.2195863657089,21.948120262807322,0.6400802441355042
CIDEC_KD,R04C10,7,331,1463.9940432628398,404.807728,484582.02832,30.30017227142615,22.702801750092334,0.6393536697294016
CIDEC_KD,R04C10,8,623,1518.883670780096,386.21232,946264.5268959999,31.290498845248415,22.175229389747265,0.638695378359709
